主体,介绍
Mending_clothes_by_daylight,"Chan doctrine teaches that all images are illusory, and paintings such as this one, in which ink is applied so lightly that the picture seems to flicker and fade before the viewer’s eyes, are among the most eloquent artistic manifestations of that belief. Using dilute ink for most of the picture, the artist has reserved dark tones for the eyes of the main figure and the needle in his hand, imparting special emphasis to these key elements. The painting is inscribed by the prominent Chan abbot Chijue Daochong. His poem reads:Mending rips and tears—robe mostly tattered,It’s like chasing clouds—where to begin?The needle glints in the rays of the setting sun,Yet one must still squint."
Page_from_the_Mustard_Seed_Garden_Manual_of_Painting,"In 1679, the author Li Yu published a primer for aspiring landscape painters called theMustard Seed Garden Manual of Painting, and he commissioned the versatile painter Wang Gai to provide designs for the illustrations. The first edition features volumes on the components of landscape painting—trees, rocks, and human figures—with instructions on how to draw different types of each. It also includes two volumes of landscapes in the styles of old masters, which show readers how to transform what they have learned into their own historically minded compositions.The manual transmitted the fashion for studying old masters' styles beyond the rarified elite circles that had given rise to the practice, and it went on to become the most widely used introduction to painting not only in China, but in Korea and Japan as well. Subsequent editions added flowers as a subject and expanded sections on human figures. It remains in use today across the world."
Portrait_of_Huang_Jianyuan_(1844–1911),"A gentleman in a robe of blue silk gazes out at the viewer, a yellow chrysanthemum clutched delicately in his left hand. In the foreground, a plant of blossoming chrysanthemum clusters next to a gnarled rock, while in the background more flowers grow at the base of a parasol tree, which arcs gently above the scholar, framing him in the center of the picture. The subject is Huang Jianyuan (1844–1911), a late Qing scholar-official. The painter of the portrait itself did not sign the work; the inscription is by Huang’s friend Ding Shangyong (active late 19th century), a scholar-official and painter who added the landscape background. The deep shading of the face likely reflects the portrait painter’s knowledge of photography, which was introduced to China in the 1860s."
Bodhisattva_Mahapratisara_with_the_Text_of_“Da_Sui_qiu_tuoluoni”,"This ritual print shows a dharani, or mystic formula, written in Sanskrit around the central figure of the Bodhisattva Mahapratisara. His eight arms hold different attributes reflecting his protective powers. The design is reminiscent of a mandala, a symbolic representation of the universe. The text relates the benefits of making copies of it so as to motivate multiple printings.The lotus medallions along the borders have been overprinted with Sanskrit “seed” characters seemingly carved on another block of the same size. This would make the work the earliest known example of multiblock printing. The donor, Li Zhishun, and the carver, Wang Wenzhao, are named near the top."
Poem_in_Cursive_Script,"One of the most outspoken officials in the late Ming period, Huang Daozhou persistently risked his life and career by criticizing court authorities. After the Manchu conquest of north China, he was active in the revivalist movement under the Southern Ming regime and died a martyr.Huang was an eminent scholar on a variety of subjects, from Neo-Confucianism to astronomy. Although he considered calligraphy a mere pastime, his accomplishment is no less impressive. In this work of running-cursive script, he altered the standard configuration of characters to create precariously balanced forms that often rely on a calculated final stroke to adjust their proportion and center of gravity. The sharp, fastmoving brushwork generates a rhythmic cadence of pent-up energy and release.Huang composed this poem during an outing to the mountains by West Lake, in Hangzhou, in the winter of 1638. In it he laments the physical frailty of old age and expresses his longing for a life in reclusion. Among his companions on this trip was Ni Yuanlu (1593–1644).cat. no. 9"
Landscapes_in_the_style_of_Ni_Zan,"Witnessing his father’s death after a failed attempt to resist the Manchus, Dai Benxiao harbored strong loyalist sentiments well into adulthood. His spare painting, constructed with dry contours and minimal shading, evokes a cool otherworldliness that suggests emotional detachment in the wake of dynastic and family tragedy.According to Dai’s inscription, this painting is a copy from memory of a landscape by the recluse-artist Ni Zan (1306–1374). Ni typically reduces nature to its barest essentials in calligraphic brushstrokes, an aesthetic that Dai adapted here into complex rock formations rendered in the “dry-brush” style. In his inscription he compares this work to a set of ten paintings by Ni that celebrate the exuberance of nature through dense compositions and vigorous brush idioms. Emphasizing the dynamic aspect of Ni’s art, he suspected most of the overly sketchy works attributed to Ni to be forgeries.cat. no. 57"
Orchids_and_Rock,"A native of Suzhou, Xu Fang passed the provincial-level civil-service examination in 1642. After his father committed suicide to protest Manchu rule, Xu gave up his pursuit of public office and spent the rest of his life in self-exile on a mountain outside Suzhou.This painting of wild orchids, fungi, and a rock can be considered a symbolic self-portrait of the artist. Orchids thrive in the wilderness, unconcerned with the bustling world that ignores their fragrance. Time may carve into the rock’s surface and chisel away its edges but cannot compromise its essential substance. Painted in late winter one year before he died, the robust fungi, treasured for their association with longevity, tell of the old man’s high spirits and optimism.cat. no. 58"
Streams_and_Mountains_without_End,"A close friend and follower of Dong Qichang (1555–1636), Zhao Zuo is said to have served occasionally as Dong's ""substitute brush,"" or ghost painter. In this scroll, however, Zhao has followed the manner of the Yuan master Huang Gongwang (1269–1354) to create a lyrically realistic landscape in which Dong Qichang's influence is tempered by the deft use of rich washes and color. Abstract mountain forms, no doubt inspired by Dong, are softened by the painter's skillful evocation of spatial recession and hazy atmosphere. It is precisely the ""professional"" technical excellence and ""sweetness"" that distinguish Zhao's imitations from Dong's authentic works."
Page_from_the_Mustard_Seed_Garden_Manual_of_Painting,"In 1679, the author Li Yu published a primer for aspiring landscape painters called the Mustard Seed Garden Manual of Painting, and he commissioned the versatile painter Wang Gai to provide designs for the illustrations. The first edition features volumes on the components of landscape painting—trees, rocks, and human figures—with instructions on how to draw different types of each. It also includes two volumes of landscapes in the styles of old masters, which show readers how to transform what they have learned into their own historically minded compositions.The manual transmitted the fashion for studying old masters' styles beyond the rarified elite circles that had given rise to the practice, and it went on to become the most widely used introduction to painting not only in China, but in Korea and Japan as well. Subsequent editions added flowers as a subject and expanded sections on human figures. It remains in use today across the world."
Page_from_the_Mustard_Seed_Garden_Manual_of_Painting,"In 1679, the author Li Yu published a primer for aspiring landscape painters called the Mustard Seed Garden Manual of Painting, and he commissioned the versatile painter Wang Gai to provide designs for the illustrations. The first edition features volumes on the components of landscape painting—trees, rocks, and human figures—with instructions on how to draw different types of each. It also includes two volumes of landscapes in the styles of old masters, which show readers how to transform what they have learned into their own historically minded compositions.The manual transmitted the fashion for studying old masters' styles beyond the rarified elite circles that had given rise to the practice, and it went on to become the most widely used introduction to painting not only in China, but in Korea and Japan as well. Subsequent editions added flowers as a subject and expanded sections on human figures. It remains in use today across the world."
Page_from_the_Mustard_Seed_Garden_Manual_of_Painting,"In 1679, publishers Shen Xinyu and Li Yu printed the first edition of the Mustard Seed Garden Manual of Painting. Produced in five volumes, it included sections on technique, trees, rocks, figures, and reproductions of works by famous painters. Nanjing painter Wang Gai was chosen to illustrate the book, and he did so by adapting a painting primer from an earlier artist. For an aspiring painter without access to a collection of their own, the Mustard Seed Manual and others like it were invaluable resources, as they offered a glimpse into the elite training available to painters of privilege. While numerous painting manuals found favor in China, Korea, and Japan, none had so great an impact as the Mustard Seed Manual, which was widely reproduced and disseminated."
Page_from_the_Mustard_Seed_Garden_Manual_of_Painting,"In 1679, publishers Shen Xinyu and Li Yu printed the first edition of the Mustard Seed Garden Manual of Painting. Produced in five volumes, it included sections on technique, trees, rocks, figures, and reproductions of works by famous painters. Nanjing painter Wang Gai was chosen to illustrate the book, and he did so by adapting a painting primer from an earlier artist. For an aspiring painter without access to a collection of their own, the Mustard Seed Manual and others like it were invaluable resources, as they offered a glimpse into the elite training available to painters of privilege. While numerous painting manuals found favor in China, Korea, and Japan, none had so great an impact as the Mustard Seed Manual, which was widely reproduced and disseminated."
Page_from_the_Mustard_Seed_Garden_Manual_of_Painting,"In 1679, the author Li Yu published a primer for aspiring landscape painters called the Mustard Seed Garden Manual of Painting, and he commissioned the versatile painter Wang Gai to provide designs for the illustrations. The first edition features volumes on the components of landscape painting—trees, rocks, and human figures—with instructions on how to draw different types of each. It also includes two volumes of landscapes in the styles of old masters, which show readers how to transform what they have learned into their own historically minded compositions.The manual transmitted the fashion for studying old masters' styles beyond the rarified elite circles that had given rise to the practice, and it went on to become the most widely used introduction to painting not only in China, but in Korea and Japan as well. Subsequent editions added flowers as a subject and expanded sections on human figures. It remains in use today across the world."
Page_from_the_Mustard_Seed_Garden_Manual_of_Painting,"In 1679, the author Li Yu published a primer for aspiring landscape painters called theMustard Seed Garden Manual of Painting, and he commissioned the versatile painter Wang Gai to provide designs for the illustrations. The first edition features volumes on the components of landscape painting—trees, rocks, and human figures—with instructions on how to draw different types of each. It also includes two volumes of landscapes in the styles of old masters, which show readers how to transform what they have learned into their own historically minded compositions.The manual transmitted the fashion for studying old masters' styles beyond the rarified elite circles that had given rise to the practice, and it went on to become the most widely used introduction to painting not only in China, but in Korea and Japan as well. Subsequent editions added flowers as a subject and expanded sections on human figures. It remains in use today across the world."
Page_from_the_Mustard_Seed_Garden_Manual_of_Painting,"In 1679, the author Li Yu published a primer for aspiring landscape painters called the Mustard Seed Garden Manual of Painting, and he commissioned the versatile painter Wang Gai to provide designs for the illustrations. The first edition features volumes on the components of landscape painting—trees, rocks, and human figures—with instructions on how to draw different types of each. It also includes two volumes of landscapes in the styles of old masters, which show readers how to transform what they have learned into their own historically minded compositions.The manual transmitted the fashion for studying old masters' styles beyond the rarified elite circles that had given rise to the practice, and it went on to become the most widely used introduction to painting not only in China, but in Korea and Japan as well. Subsequent editions added flowers as a subject and expanded sections on human figures. It remains in use today across the world."
Page_from_the_Mustard_Seed_Garden_Manual_of_Painting,"In 1679, the author Li Yu published a primer for aspiring landscape painters called the Mustard Seed Garden Manual of Painting, and he commissioned the versatile painter Wang Gai to provide designs for the illustrations. The first edition features volumes on the components of landscape painting—trees, rocks, and human figures—with instructions on how to draw different types of each. It also includes two volumes of landscapes in the styles of old masters, which show readers how to transform what they have learned into their own historically minded compositions.The manual transmitted the fashion for studying old masters' styles beyond the rarified elite circles that had given rise to the practice, and it went on to become the most widely used introduction to painting not only in China, but in Korea and Japan as well. Subsequent editions added flowers as a subject and expanded sections on human figures. It remains in use today across the world."
Page_from_the_Mustard_Seed_Garden_Manual_of_Painting,"In 1679, the author Li Yu published a primer for aspiring landscape painters called the Mustard Seed Garden Manual of Painting, and he commissioned the versatile painter Wang Gai to provide designs for the illustrations. The first edition features volumes on the components of landscape painting—trees, rocks, and human figures—with instructions on how to draw different types of each. It also includes two volumes of landscapes in the styles of old masters, which show readers how to transform what they have learned into their own historically minded compositions.The manual transmitted the fashion for studying old masters' styles beyond the rarified elite circles that had given rise to the practice, and it went on to become the most widely used introduction to painting not only in China, but in Korea and Japan as well. Subsequent editions added flowers as a subject and expanded sections on human figures. It remains in use today across the world."
Second_View_of_the_Studio_for_Respecting_the_Fungus_of_Longevity,"The painter Yang Tianbi produced this painting for Jiang Youxian (1766–1830), a prominent scholar-official of the nineteenth century. The title suggests that this was one of several views of Jiang’s garden that Yang painted. Deep within a nesting set of walls is a small set of rustic buildings, where stools and a couch await cultivated visitors."
Writing_the_“Orchid_Pavilion_Preface”_One_Thousand_Times,"This photographic documentation of Qiu’s best-known, process-driven work exemplifies his early interest in the performative aspect of calligraphy, particularly the pedagogical method of repeatedly copying a model until its brush movements become second nature. The “Orchid Pavilion Preface,” written by the patriarch of calligraphy Wang Xizhi (303–61), has long been revered as the unsurpassed model of cursive writing. Repeatedly writing over his free-hand interpretation of the original, Qiu turns the paper into a saturated black field. By focusing on the process of writing rather than its literary content, Qiu asserts that the ultimate goal of calligraphic practice is “a form of ‘written meditation’.”"
"Landscape_after_Xia_Gui_(active_ca._1195–1230),_from_the_Mustard_Seed_Garden_Manual_of_Painting","In 1679, the playwright, author, and garden designer Li Yu published a primer for amateur painters called the Mustard Seed Garden Manual of Painting. The manual’s images and texts impart a sense of famous masters’ styles and how to reproduce them. The designs for the prints were prepared by Wang Gai, as he had the versatility required to paint in a range of manners. The manual was extremely successful and became the most widely used book of its type not only in China, but in Japan and Korea as well. Today, many painters still use it as a starting point."
"Hibiscus,_Lotus,_and_Rock","Recalling a beautiful woman in their blushing colors and delicate shapes, the blossoms of the lotus and hibiscus epitomize the exuberance and fullness of youth. Seeming to mock himself for continuing to admire such lush summer flowers, the aging Shitao inscribed the lines by the renowned Song dynasty poet Su Shi (1036–1101): “As I grow older, I have stopped having lush dreams, Even one hibiscus tree by the pond is too much for me.”Suffering from the infirmities of old age, Shitao, in the last years of his life, frequently painted in a broad impressionistic style with rich wet ink. As he wistfully suggests in his inscription, painting in such an obviously sensuous manner was perhaps not entirely appropriate for one of his age."
Page_from_the_Mustard_Seed_Garden_Manual_of_Painting,"In 1679, the author Li Yu published a primer for aspiring landscape painters called the Mustard Seed Garden Manual of Painting, and he commissioned the versatile painter Wang Gai to provide designs for the illustrations. The first edition features volumes on the components of landscape painting—trees, rocks, and human figures—with instructions on how to draw different types of each. It also includes two volumes of landscapes in the styles of old masters, which show readers how to transform what they have learned into their own historically minded compositions.The manual transmitted the fashion for studying old masters' styles beyond the rarified elite circles that had given rise to the practice, and it went on to become the most widely used introduction to painting not only in China, but in Korea and Japan as well. Subsequent editions added flowers as a subject and expanded sections on human figures. It remains in use today across the world."
"Mountain_Retreat,__leaf_from_Album_for_Zhou_Lianggong","This painting and its accompanying inscription belonged to an album made for the noted Nanjing collector and high official Zhou Lianggong (1612–1672). A leading patron of contemporary artists, Zhou assembled a number of these albums during the last twenty-five years of his life, when his career required him to travel extensively. Such collaborative works have long been a means for a group of artists to commemorate special occasions, but Zhou’s albums, which sometimes encompassed hundreds of contributions, fulfilled a different function: they included works by professionals and scholar-amateurs, Ming loyalists and Qing officials, traditionalist orthodox painters and innovative individualists. By inviting a wide spectrum of artists to both view and contribute to these albums, Zhou created a unique forum for artists to learn from and appraise one another’s productions."
Qin,"Many Ming-dynasty princes, starting with the sons of the founder and continuing until the last generation before the dynasty's fall in the mid-seventeenth century, were accomplished musicians, and some made important contributions to musicology and musical theory. The first prince of Lu (1568–1614), brother of Emperor Shenzhong (Wanli), was an immensely rich man, and hundreds of qin were made for his household and descendants in the last years of the Ming dynasty. All bear the inscription of the Princedom of Lu, and all are numbered. About ten Prince Lu qin are extant; the one in the Metropolitan Museum, number 18, dated 1634, is the earliest. The highest-numbered Prince Lu qin known is number 295. It is dated 1644, the year the Ming dynasty came to an end.The back of the Metropolitan's qin bears the maker's seal and date, the words ""Capital Peace,"" and a twenty-character poem by Jingyi Zhuren (d. 1670) that reads:The moonlight is being reflected by the river YangziA light breeze is blowing over clear dewdrops,Only in a tranquil placeCan one comprehend the feeling of eternity."
Mi_Fu_Bowing_to_a_Stone,"The world changed around Pu Ru,brother of the last emperor of China, Pu Yi, and the most talented painter among the princes of the Qing royal family,but his values remained constant. In his painting of Mi Fu (1052–1107), the Northern Song poet, politician, painter, and connoisseur, Pu pays homage to the enduring culture of China's lettered gentlemen. The magistrate Mi Fu was known as much for his outspokenness as for his refined tastes. Pu's painting recalls Mi's visit to the garden of the governor of Wuwei (present-day Anhui), where he saw a stone of uncommon presence and wonder. To pay his respects, Mi dressed in official robes, carried his hu (an official tablet used to ensure that a lesser man's breath never fell upon the emperor), and addressed the stone as ""Elder Brother Rock."" Others found this laughable, but Mi answered that he bowed to the stone; he did not worship it.In Pu Ru's painting, we see Mi Fu bowing, but there is no stone. With the classic means of the literati repertory,restraint and omission,Pu Ru evokes complex resonances. Garden stones were prized as human character was prized. Their idiosyncratic features were admired, their companionship was valued, and their challenge to the viewer's imagination was esteemed. Pu's painting clearly intimates that the beauty and stature of such stones exist primarily in the mind of the beholder and that these qualities might be preserved there, even after the stone,like the Qing dynasty,has vanished."
Remonstrating_with_the_emperor,"Depicting a loyal official remonstrating with the emperor, this painting was commissioned to enhance the image of the sovereign as a just ruler who welcomed frank criticism and encouraged honest admonitions from his officials. The reality was often quite the opposite.Bearing the signature of Liu Jun, a court painter who eventually attained the honorary rank of Commander in Chief of the Embroidered Uniform Guard, this large colorful hanging scroll testifies to the continuation of the Song academic tradition of narrative art under the sponsorship of the Ming court. But while both the subject matter and figure style are based on Song models, Remonstrating with the Emperor exhibits a compositional density and schematization that typify works of the Ming academy at the end of the fifteenth century. Song court paintings emphasize narrative content and the creation of a believable spatial framework for the action; Ming paintings emphasize symbolic content. Liu Jun's main objective is no longer the recounting of a specific story or the achievement of an accurate description of nature; rather, it is the communication of a message through a vocabulary of images imbued with symbolic meaning."
"Evening_Bell_from_a_Mist-Enshrouded_Temple,_from_Eight_Views_of_Xiao_and_Xiang","In the late eleventh century, a scholar-official named Song Di made eight paintings based on the scenery of the Xiao and Xiang River region in Hunan. Paired with poetic titles that emphasized the melancholy of the misty landscapes, the Eight Views of Xiao and Xiang was a carefully encoded protest against the political climate of the day, in which officials faced the constant threat of exile if they crossed the emperor or his favored officials.Over the years, the Eight Views became a common theme in landscape painting, not only in China but in Japan and Korea as well. By Liu Yanchong’s time, it was one of many canonical landscape themes and the choice to paint it was not necessarily politically charged."
"Landscape_after_Dong_Yuan,_Juran,_Ma_Yuan,_and_Xia_Gui","This landscape of swirling, fantastic mountains has puzzled scholars. The painting is signed “Li Zai of Putian,” a painter who lived during the fifteenth century, but its style clearly places it in the seventeenth century or later. Also, the artist’s inscription mentions the sixteenth-century collector Xiang Yuanbian, so it was obviously not intended to be a forgery of the fifteenth-century Li Zai, but the possibility of another painter by that name from the same hometown is unlikely. Whoever this Li Zai was, he was daring: as he states in the inscription, this painting is an attempt to combine the disparate styles of several old masters—Dong Yuan and Juran of the tenth century and Ma Yuan and Xia Gui of the thirteenth—and the results are fresh and unusual."
Lotus,"Chen Hengke's masterpiece of design demonstrates the shift in the modern period away from calligraphic to graphic principles. Chen's painting frankly recalls Wu Changshi's numerous renderings of this subject, but strays from the firm, round brushwork that was the underpinning of Wu's work. Chen's dramatic composition groups the contrasting shapes into right angles along two edges of the picture, creating a tension that makes the unused space come alive. Trained in calligraphy since his youth and something of a prodigy, Chen demonstrates in his inscription the power of his calligraphic line to activate a three-dimensional space. Ultimately however, his inscription is subordinated to the surface design."
Flower_and_Rock,"Zeng Xi says in his inscription that this painting was inspired by Li Shan (Li Futang, 1686–after 1760). One has only to look at the painting by Ren Xiong at the beginning of this exhibition, also said to be done in the style of Li Shan, to recognize that style is in the brush of the beholder.Zeng's intense frenzy of brushwork wonderfully conveys the earth's force stored in the old rock."
On_the_Seventeenth_Day,"Most personal correspondence was written in an informal form of clerical script known as cursive clerical (caoli) or draft cursive (zhangcao). In this script type, which originated as an abbreviated form of writing used in drafting manuscripts, individual characters are simplified, with some brushstrokes omitted and others linked in fluid, continuous lines. By the fourth century, such informal writings by known authors, originally viewed as a heterodox debasement of the orthodox clerical manner, became cherished for their expressive individuality.Original manuscripts by the ""calligraphy sage"" Wang Xizhi and other early masters were already rare in the early Tang dynasty (618-907), when a major effort to collect and authenticate Wang's writings was sponsored by the imperial court. To preserve and propagate these precious writing models, precise tracings were made, as were stone or wood-carved reproductions. Rubbings taken from the carved reproductions provided the principal means for students to acquire and study classical models.On the Seventeenth Day is a selection of twenty-nine letters written by Wang Xizhi collected under the sponsorship of the Tang emperor Taizong (r. 627-49), a devoted student of Wang's writing style and the compiler of a comprehensive collection of Wang's surviving works. The title derives from the initial characters of the first letter. Extant rubbings of the manuscript date to the Song dynasty (960-1279) or later and vary tremendously in quality. The Song rubbings, of which several versions are known, were based in turn on Tang tracings or rubbings. The dominant type, such as this example, ends with the large imperial cipher qi (""imperial order"") followed by a brief inscription stating that the emperor ordered the copy carved on stone as the official version of the Hongwen Academy."
Letters_to_Fang_Shiguan,"The tradition of collecting personal letters dates back nearly two millennia in China. It was believed that the intimate space of the letter encouraged a sense of freedom and openness in calligraphers, and the resulting calligraphy was often treasured as a true expression of the artist’s spirit. This album is a collection of letters written by the great painter and calligrapher Zhu Da to his close friend Fang Shiguan (1650–ca. 1711). Fang must have saved them as treasured traces of a friend and gifted artist. At some point, they were mounted together as an album. The letters concern four areas of Zhu’s life: his health; meetings with Fang; exchanges of favors and small gifts; and painting, including both the viewing of other artists’ works and the selling of his own."
"Landscapes,_Flowers_and_Birds","Xiang Shengmo enjoyed two significant advantages in his early years as a painter. First, his grandfather Xiang Yuanbian possessed the greatest collection of old masterworks in the realm. Second, Dong Qichang, whose theories were so influential in seventeenth-century art circles, served for a period of time as a tutor in his home, and Xiang maintained a friendship with the elder painter. With this unusual background, Xiang achieved an exceptional range, as is evident from this diverse album of landscape and flower subjects."
Birds_and_Flowers_of_the_Four_Seasons,"Qi Baishi painted this set of hanging scrolls in 1920, combining seasonal bird-and-flower motifs with rebuses to evoke auspicious meanings."
"“Bamboo”_section,_from_the_Mustard_Seed_Garden_Manual_of_Painting",This is a later Japanese reprint of one of the most famous drawing manuals in East Asian history.
Landscapes_with_Poems,"In this album of painting and poetry, made one year before his death, Gong Xian exhibits a luminous self-confidence and contentment. The hermit's favorite haunts in and around Nanjing are compared to the abodes of the immortals. As an art teacher and the author of several manuals on painting, Gong perfected an ink-wash and dotting technique that enabled him to achieve both incredible density and translucency. In these remarkable works, Gong attains new heights in painting simultaneously with words and images."
Landscape_Sketches_of_Mount_Luofu,"During a 1957 trip to Guangdong province in southern China, Xie visited Mount Luofu, a famous site in the region known for its spectacular landscape. He may have made these rudimentary sketches from nature while on the road, reducing key topographical features to concise compositions of confident lines."
Opera_Figures,Guan Liang studied oil painting in Tokyo in 1918. After his return to China in 1923 he concentrated on traditional styles and mural painting. His colorful drawings of opera figures are now much imitated by contemporary painters.
Six_Horses,"The disparities in paper, pigment, and style between the two halves of this painting make it clear that they are by different hands and from different periods. In the first half of the painting, the horses and figures are well drawn and there is a rough vigor in the depiction of the landscape and trees. The shading of the land forms and the bold modulated outlines defining the figures, who wear typical Khitan costumes, most closely resemble murals done in the eleventh and twelfth centuries in north China, then ruled by the Khitan Liao dynasty (907–1125). In the second half, the unmodulated, ""iron-wire"" lines used to describe the drapery folds of the rider, the heavy outline of the rock, and the dry calligraphic texture of the tree suggest a fourteenth-century date."
Orchid,"Orchids are an emblem of quiet, even hidden virtue, and a subject well suited to rendering in ink alone. Wu's muted palette is elegant and understated, but enough color is used to satisfy turn-of-the-century taste."
"Sparrows,_plum_blossoms,_and_bamboo","The appeal of Southern Song academic flower and bird painting, exemplified here, derives from careful realism; studied, selective presentation; and genuine affection lavished upon the small and colorful things of the garden."
"Master_Cheng’s_Admonition_on_Seeing,_Hearing,_Words,_and_Deeds","清 鄧石如 隷書程子視聽言動之箴 四條屏 紙本In his final years, Deng Shiru’s clerical script took on the character you see here, with thick powerful lines of almost unvarying thickness. This work, made the year Deng died, is a transcription of an eleventh-century text by the Neo-Confucian Cheng Yi (1033–1107)."
Landscape_in_the_manner_of_Wang_Meng,"The densely stacked and swirling mountain forms of this painting evoke Wang Meng, the fourteenth-century artist. Though this work is unsigned, it is close to the style of the sixteenth-century painter Wen Boren, who revered Wang Meng and made many paintings in his manner"
"Landscape_Sketches_of_Mt._Danxia,_Guangdong","In 1963 Xie held a painting exhibition in Guangdong. While there, he visited Mount Danxia, a scenic site celebrated for the reddish surface of its cliffs. He made quite a few pencil sketches of the scenery on coarse paper of varying sizes, and he identified the motifs he used by writing single words and simple phrases onto the sketches. Despite their brevity, the captions vividly capture the extraordinary variety of the natural landscape."
Landscape,Jin Cheng's commitment to traditional values in painting is evident in this fan in his recollection of the style of the tenth century landscape master Dong Yuan.
Landscapes_after_old_masters,"By the late nineteenth century, when the little-known painter Du Xiang made this album, artists had been engaging with the same old-master styles for centuries, and the possibilities for an original contribution appeared to be running out. Nevertheless, Du persisted, creating something fresh and new by magnifying manners and exaggerating forms. See, for instance, the second leaf, in which the tenth-century artist Li Cheng’s classic composition of twin pines backed by mountains has been rendered as a tipsy, whimsical fantasia of lines unlike anything seen before or since."
Crane_in_a_bamboo_grove,"A favorite image in Chinese society and a familiar presence in imperial gardens as well as refined scholarly retreats, cranes were also renowned as the vehicles of Daoist immortals. Their long life span and loyalty to a single mate made them symbols of longevity and faithfulness. Here, a Manchurian crane, identified by its distinctive red forehead, strolls through a corner of the palace garden. Stopping in midstride and turning its head, the bird has just been startled by a branch of bamboo that has brushed against its tail feathers.One of only a handful of such large-scale images of birds to survive from the late Yuan or early Ming dynasty, this painting derives its subject from a composition by the emperor Huizong (r. 1100–25), who painted a set of six cranes in different poses. The complex branch structure of the twisting bamboo and the intricate detail of the bird's plumage—with every filament of the feathers carefully delineated—reveal a level of naturalistic description that predates the more conventionalized images of cranes created by the Ming court painter Bian Wenjin (ca. 1354–1428)."
Stele_on_Ritual_Implements,"何紹基 隸書 禮器碑 軸 紙本This work is a direct homage to an early stone inscription, known as the “Stele on Ritual Implements” (Liqi bei), written in A.D. 156, that was considered by many Epigraphic School calligraphers to be the greatest ancient example of this script type. Here, the scholar-calligrapher He Shaoji transcribes a portion of this stele, enlarging the characters and spreading them over six scrolls to create an impressive work of art for a large, public setting. The “Stele on Ritual Implements” was one of He Shaoji’s favorite inscriptions, and when he wrote this at the age of seventy-one, he probably knew the text so well that he did not need to consult the original."
Couplet,"清 鄧石如 隷書 對聯 絹本This work, written just a year before Deng Shiru’s death, encapsulates the appeal of his mature clerical script, which is typified by squat characters written in unwavering lines. Pairs of hanging scrolls like these—known as couplets (duilian)—were often hung in reception halls for special occasions. The sentiment of the poem (translated and transcribed below) is perfect for a festive celebration.Right: The heart is a good field—plow it for a hundredgenerations, and it will never be depleted.Left: Goodness is a perfect treasure—use it for a lifetime,and some will still remain.心作良田百世耕之不盡善為至寶一生用則有餘"
"Epitaph_for_Wang_Jihuan_and_his_Wife,_Madame_Min","明 董其昌 行書汪繼環墓志銘 卷 紙本Dong Qichang composed and transcribed this epitaph for a couple—Wang Jihuan (Wang Chengxu, 1559–1611) and his wife, Madame Min (1558–1622)—at their son’s request. The Wangs were cultured merchants from Anhui Province who made their fortune primarily in the salt trade. As is typical of a formal epitaph, the text tells the life stories of the deceased and extols their virtues in highly stylized language. Commissioning such a text, particularly from a famous scholar and calligrapher like Dong Qichang, was a way for children to honor their parents. Dong uses semicursive script, which is also found in informal writing, but the airy regularity of the lines and the stable construction of his characters invest the work with a sense of gravitas."
Poem_on_Climbing_Mt._Qile,"明 黃輝 草書登栖樂山詩 卷 紙本Huang Hui, a close friend and colleague of Dong Qichang (1555–1636), is best known for his poetry, but his calligraphy was considered equal to Dong’s by many of their contemporaries. Whereas Dong followed the rules of the classical tradition, Huang struck out in search of an individualist voice. In this work, Huang transcribes two poems about his experience climbing Mt. Qile near his hometown in Sichuan Province. Relying on the movements of the wrist rather than the fingers, he created a vigorous, expressive style. The characters are squat and compact, which imparts a sense of blunt power to the writing."
Couplet,"清 鄧石如 隷書 對聯 絹本The blocky script type you see here is called clerical script, which evolved as a more efficient alternative to seal script. In clerical script, the complicated structures and twisting lines of seal script are simplified to more manageable forms, written with lines of varying thickness that allow the calligrapher to move the brush more quickly. These changes incidentally meant that calligraphers could inject more individuality into their writing. Though clerical script fell out of common use by the third century, it was revived in the eighteenth century, when scholars like Deng Shiru began to look to the distant past for inspiration.Poets exchange verses, seeking lasting celebration.Even as the flowers wither, ewers and wine goblets extend eternal harmony.吟壇贈答追長慶華謝壺觴繼永和"
On_Calligraphy,"明 張瑞圖 行書書評十二條屏 絹本In this set of twelve scrolls, Zhang Ruitu transcribes a commentary on twenty-five calligraphers composed by Yuan Ang (461–540), an artist and minister at the court of the Liang dynasty (r. 502–57), where both literary and art criticism first flourished in China. While some of the calligraphers discussed, like Wang Xizhi (ca. 303–ca. 361) and Wang Xianzhi (344–386), are towering figures in art history, many of them are unknown today. Zhang writes in a forceful style marked by sharp angles and characters that are taller than they are wide."
Inscription_on_Stone_Sails,"清 趙之謙 楷書 石颿銘 四條屏 紙本In a sense, the Epigraphic School culminated with Zhao Zhiqian. His standard script, which you see here, was inspired by stone inscriptions of the Northern Wei dynasty (386–534), but he wrote with a quivering brush that gives his calligraphy a quality of pulsating power. The transcribed text is part of Bao Zhao’s (ca. 412–466) poem “Inscription on Stone Sails.” “Stone Sails” refers to a mountain in Hunan Province, named for its many steep, pointed peaks that resemble the sails of a fleet of ships. The text reads:Filling the sky to its limits is a shadowy expanse[of clouds].Cloud banners have not risen; no wind rustles throughthe branches.Breakers splash like collapsing hills, as dark wavesthunder along.—Trans. by Shi-yee Liu"
