主体,关系,对象
Theatrical_robe_with_dragons,作者,China
Theatrical_warrior’s_robe,作者,China
Ceremonial_Robe,作者,China
Imperial_Theatrical_Robe_for_Warrior,作者,China
"Brush_pot_with_pine,_bamboo,_and_plum_tree",作者,China
Water_coupe_in_the_form_of_pine_tree_trunk,作者,China
Ink_palette_in_the_form_of_the_Stone_Drum,作者,China
Double-Spouted_Ewer,作者,China
Water_Container_in_the_Shape_of_a_Lotus_Leaf_with_a_Crab,作者,China
Jue_stand,作者,China
Imperial_Theatrical_Coat_for_Warrior,作者,China
Covered_jar_on_stand,作者,China
Bowl,作者,China
Deep_Bowl,作者,China
Box_and_cover_in_the_shape_of_a_lotus_pod_with_stems_tied_together_on_one_end,作者,China
Dish,作者,China
Covered_urn_(Koro)_from_a_scholar's_desk_set,作者,China
Libation_cup_in_form_of_a_pine_tree_stump,作者,China
Fragment,作者,China
Vase_in_the_shape_of_a_lotus_leaf_tied_together_at_the_top_with_a_ribbon,作者,China
Ornament_with_bird,作者,China
Rubbing,作者,China
Battle_of_the_Bridge_(Wu_Ban_Battles_the_Barbarians(?)),作者,China
Rank_Badge_with_Lion_of_India,作者,China
Emperor's_Twelve-Symbol_Robe,作者,China
View_of_a_Garden_Villa,作者,Yuan_Jiang
Imperial_Theatrical_Coat_for_Warrior,作者,China
Imperial_Theatrical_Coat_for_Female_Warrior,作者,China
Imperial_Theatrical_Skirt_for_Court_Lady,作者,China
Imperial_Theatrical_Coat_for_Court_Dancer,作者,China
Theatrical_jacket_with_dragons,作者,China
Emperor's_Twelve-Symbol_Robe,作者,China
Prunus,作者,Zhou_Zonglian
Theatrical_skirt_with_dragons,作者,China
Two_Men_on_Horse_with_Dog_in_Lead,作者,Mao_Zuyuan
Daoist_Priest's_Robe,作者,China
Teapot,作者,Gift_of_Dr._and_Mrs._Charles_A._Breitenbach
"""All_Victorious""_Guanyin_Bodhisattva",作者,Museum_purchase_with_funds_provided_by_the_Helen_M._Towle_Bequest
2000.5.5,作者,Museum_purchase_with_funds_from_an_anonymous_donor
A_Divine_Gift_of_One_Hundred_Honors,作者,Museum_purchase_with_funds_provided_by_Rosalyn_and_Daniel_Jacobs
A_Hermitage,作者,"Gift_of_Mr._S._M._Hsiao,_Hong_Kong"
A_Mandarin's_Autumn_Hat_(with_plumage),作者,Gift_of_Mrs._Harold_Ahlquist
"A_Native_Detective,_Foochow",作者,"MoPA_-_Gift_of_Lillick,_McHose_&_Charles"
"A_Picture_of_Ancient_Trees,_Rock,_and_Bamboo",作者,"Gift_of_Mr._S._M._Hsiao,_Hong_Kong"
A_Smile_in_the_Dream,作者,Gift_of_Ambassador_and__Mrs._Everett_F._Drumright
Album_of_Eight_Landscapes,作者,Gift_of_Dr._and_Mrs._Melvin_G._Goldzband
Album_of_Eight_Landscapes_1,作者,Gift_of_Dr._and_Mrs._Melvin_G._Goldzband
Album_of_Eight_Landscapes_2,作者,Gift_of_Dr._and_Mrs._Melvin_G._Goldzband
Album_of_Eight_Landscapes_3,作者,Gift_of_Dr._and_Mrs._Melvin_G._Goldzband
Album_of_Eight_Landscapes_4,作者,Gift_of_Dr._and_Mrs._Melvin_G._Goldzband
Album_of_Eight_Landscapes_5,作者,Gift_of_Dr._and_Mrs._Melvin_G._Goldzband
Album_of_Eight_Landscapes_6,作者,Gift_of_Dr._and_Mrs._Melvin_G._Goldzband
Album_of_Eight_Landscapes_7,作者,Gift_of_Dr._and_Mrs._Melvin_G._Goldzband
Album_of_Eight_Landscapes_8,作者,Gift_of_Dr._and_Mrs._Melvin_G._Goldzband
Album_of_Ten_Paintings,作者,Gift_of_Dr._Reginald_Poland_in_memory_of_Mrs._Leon_D._Bonnet
Album_of_Ten_Paintings_1,作者,Gift_of_Dr._Reginald_Poland_in_memory_of_Mrs._Leon_D._Bonnet
Album_of_Ten_Paintings_10,作者,Gift_of_Dr._Reginald_Poland_in_memory_of_Mrs._Leon_D._Bonnet
Album_of_Ten_Paintings_2,作者,Gift_of_Dr._Reginald_Poland_in_memory_of_Mrs._Leon_D._Bonnet
Album_of_Ten_Paintings_3,作者,Gift_of_Dr._Reginald_Poland_in_memory_of_Mrs._Leon_D._Bonnet
Album_of_Ten_Paintings_4,作者,Gift_of_Dr._Reginald_Poland_in_memory_of_Mrs._Leon_D._Bonnet
Album_of_Ten_Paintings_5,作者,Gift_of_Dr._Reginald_Poland_in_memory_of_Mrs._Leon_D._Bonnet
Album_of_Ten_Paintings_6,作者,Gift_of_Dr._Reginald_Poland_in_memory_of_Mrs._Leon_D._Bonnet
Album_of_Ten_Paintings_7,作者,Gift_of_Dr._Reginald_Poland_in_memory_of_Mrs._Leon_D._Bonnet
Album_of_Ten_Paintings_8,作者,Gift_of_Dr._Reginald_Poland_in_memory_of_Mrs._Leon_D._Bonnet
Album_of_Ten_Paintings_9,作者,Gift_of_Dr._Reginald_Poland_in_memory_of_Mrs._Leon_D._Bonnet
Album_of_the_Jiangnan_Area,作者,Museum_purchase_with_funds_provided_by_Earle_W._Grant
Altar_Bowl,作者,Gift_of_Mrs._John_C._Bentz
Altar_Frontal_(with_figures_and_birds),作者,Gift_of_Eugene_and_Carol_Freeland
Ancestor_Portrait:_Man,作者,Gift_of_Mr._and_Mrs._William_Wallace_Henderson
Ancestor_Portrait:_Ninth_Rank_Imperial_Official,作者,Museum_purchase
Ancestor_Portrait:_Qing_Official_and_Wives,作者,Museum_purchase
Ancestor_Portrait:_Woman,作者,Museum_purchase_with_funds_provided_by_the_Helen_M._Towle_Bequest
Ancestor_Portrait:_Woman,作者,Gift_of_Mr._and_Mrs._William_Wallace_Henderson
Animal_(head_with_hair),作者,Donor_unknown
Animal_(head_with_tongue),作者,Donor_unknown
Animal_(head),作者,Donor_unknown
Another_Battle_Series_No.1,作者,Museum_purchase_with_funds_from_an_anonymous_donor
Another_Battle_Series_No.7,作者,Museum_purchase_with_funds_from_an_anonymous_donor
Archaic_Model_of_a_Cicada,作者,Anonymous_gift_in_loving_memory_of_Evelyn_H._Ornstein
Archer's_Ring,作者,Gift_of_Mrs._John_Sheafe_Douglas
Archer's_Ring,作者,Gift_of_Mrs._John_Sheafe_Douglas
Archer's_Ring,作者,Gift_of_Mrs._John_Sheafe_Douglas
Archer's_Ring,作者,Gift_of_Mrs._John_Sheafe_Douglas
Archer's_Ring,作者,Gift_of_Mrs._John_Sheafe_Douglas
Archer's_Ring,作者,Gift_of_Mrs._John_Sheafe_Douglas
Archer's_Ring,作者,Gift_of_Mrs._John_Sheafe_Douglas
Archer's_Ring,作者,Gift_of_Edker_and_Blanche_Pope
Archer's_Ring,作者,Gift_of_Edker_and_Blanche_Pope
Arhart_or_Luohan,作者,Bequest_of_Elsie_S._Kimberly
Armed_Figure_Standing_Guard,作者,Gift_of_Mrs._T._L._Sears
Armorial_Plate,作者,Gift_of_Dr._and_Mrs._Paul_W._Greeley
Armorial_Plate,作者,Gift_of_Dr._and_Mrs._Paul_W._Greeley
"Art_Class,_Chungking",作者,Victor_Diaz_Color_Photography_Collection
Autumn,作者,Gift_of_Frederick_A._Schafer
Autumn_Flowers,作者,"Gift_of_Mr._S._M._Hsiao,_Hong_Kong"
Autumn_Landscape,作者,Donor_unknown
Autumn_Landscape,作者,Gift_of_Eugene_and_Marian_Gabrych
Autumn_Mountains,作者,"Gift_of_Mr._S._M._Hsiao,_Hong_Kong"
Autumn_scene_with_flowers_and_Birds,作者,Gift_of_Mr._and_Mrs._Archer_M._Huntington
Axe_(with_long_handle),作者,Donor_unknown
Azure-winged_Magpies,作者,Bequest_of_Mrs._Cora_Timken_Burnett
"Bag_(made_from_two_Insignias_of_Rank:_Silver_Pheasant,_Fifth_Rank)",作者,Gift_of_Ruby_Harris
"Bag_(with_floral_design,_hanging_cord_and_pull)",作者,Gift_of_Mrs._Myrtle_Shepherd_Francis
Balimbing_Jarlet,作者,Gift_of_Dr._and_Mrs._Charles_A._Breitenbach
Baluster_Vase_(with_floral_design),作者,Bequest_of_Mrs._Cora_Timken_Burnett
Bamboo,作者,Bequest_of_Elsie_S._Kimberly
Bamboo_After_Rain,作者,Gift_of_Mr._Herbert_H._P._Ma
Bamboo_and_plum_blossoms,作者,Anonymous
Bamboo_and_Plum_Blossoms,作者,Gift_of_Frederick_A._Schafer
Bamboo_and_Rock,作者,Gift_of_Ambassador_and_Mrs._Everett_F._Drumright
Bamboo_and_Sparrows,作者,Museum_purchase_with_funds_provided_by_the_Asian_Arts_Council
Bamboo_Grove,作者,Gift_of_Ambassador_and_Mrs._Everett_F._Drumright
Bamboo_Grove,作者,Victor_Diaz_Color_Photography_Collection
"Bamboo,_Narcissus,_Chinese_Rose,_and_Lake_Tai_Rock",作者,Gift_of_Mrs._John_H._Fox
Banner_(two_dragons_competing_for_a_pearl),作者,"Gift_of_Marcia_Robbins_in_memory_of_her_father,_Mr._Samuel_Robbins"
Banner_(with_dragons_design),作者,Bequest_of_Elsie_S._Kimberly
Barricade_of_bamboo;_surrounding_my_thatched_hut,作者,"Museum_purchase_with_funds_provided_by_The_Asiatic_Arts_Committee_of_the_Fine_Arts_Society,_1957."
Bath_House,作者,Museum_purchase_with_funds_from_an_anonymous_donor
"Battle_Scene_from_""The_Water_Margin""",作者,Gift_of_Mr._and_Mrs._Leon_Hall_Fish_in_memory_of_Esther_Hall_and_Leon_Henry_Fish
Bedding_(with_cranes),作者,Gift_of_Isamu_Kawaguchi
"Bees,_Flowers_and_Rocks",作者,Gift_of_Mary_Alice_Metzger
"Beggars,_Foochow",作者,"MoPA_-_Gift_of_Lillick,_McHose_&_Charles"
Beijing,作者,MoPA_-_Gift_of_Mother_Jones_International_Fund
Belt_Buckle,作者,Donor_unknown
Belthooks_(mounted_as_a_mirror),作者,Anonymous_gift_in_loving_memory_of_Evelyn_H._Ornstein
Betal_Nut_Jar_(with_cover),作者,Gift_of_Mrs._Russell_Keeney
Betelnut_Container_(with_geometric_design_and_cover),作者,Gift_of_Isamu_Kawaguchi
Betelnut_Grater_(with_animal-form_handle),作者,Gift_of_Isamu_Kawaguchi
Bi,作者,Bequest_of_Mrs._Cora_Timken_Burnett
Bi,作者,Bequest_of_Mrs._Cora_Timken_Burnett
Bi_Disc_(with_three_arcs),作者,Bequest_of_Mrs._Cora_Timken_Burnett
Bi-Disc_(with_tiger-dragons_and_rush-mat_designs),作者,Gift_of_the_Harold_B._Canavan_Family
Bird_and_Flower_Album,作者,Gift_of_Eugene_and_Marian_Gabrych
Bird_and_Sweet_Olive_Blossoms,作者,"Museum_purchase_through_the_Alice_Klauber_Memorial_Fund_of_the_Asian_Arts_Council,1_955"
Bird_in_tree,作者,Anonymous
Bird_on_branch,作者,Donor_unknown
Bird_on_Branch,作者,"Museum_purchase_through_the_Alice_Klauber_Memorial_Fund_of_the_Asian_Arts_Council,_1955"
Bird_on_branch_with_flower,作者,Found_in_inventory
Birds,作者,Gift_of_Mrs._John_Sheafe_Douglas
Bishamonten_(guardian_figure),作者,Gift_of_Mr._and_Mrs._Calvert_E._Norland
Black_Dragon_Falls,作者,Victor_Diaz_Color_Photography_Collection
Blank_Text_for_Ten_Bamboo_Studio_Prints,作者,Museum_purchase_with_funds_provided_by_the_Asian_Arts_Committee_and_the_Alice_Klauber_Memorial_Fund
Blank_Text_for_Ten_Bamboo_Studio_Prints,作者,Museum_purchase_with_funds_provided_by_the_Asian_Arts_Committee_and_the_Alice_Klauber_Memorial_Fund
Blank_Text_for_Ten_Bamboo_Studio_Prints,作者,Museum_purchase_with_funds_provided_by_the_Asian_Arts_Committee_and_the_Alice_Klauber_Memorial_Fund
Blank_Text_for_Ten_Bamboo_Studio_Prints,作者,Museum_purchase_with_funds_provided_by_the_Asian_Arts_Committee_and_the_Alice_Klauber_Memorial_Fund
Blank_Text_for_Ten_Bamboo_Studio_Prints,作者,Museum_purchase_with_funds_provided_by_the_Asian_Arts_Committee_and_the_Alice_Klauber_Memorial_Fund
Bodhi_Dharma,作者,Donor_unknown
Bodhisattva,作者,Bequest_of_Mrs._Cora_Timken_Burnett
Bodhisattva,作者,Gift_of_Mrs._Cecil_P._Reichel
Bodhisattva_?_(with_stand),作者,Gift_of_Mrs._Anna_Hickson
Bodhisattva_Guanyin,作者,Bequest_of_Mrs._Cora_Timken_Burnett
Bodhisattva_Guanyin_of_the_Southern_Seas,作者,Bequest_of_Mrs._Cora_Timken_Burnett
Bodhisattva_Head,作者,Bequest_of_Mrs._Cora_Timken_Burnett
Bodhisattva_Head,作者,Bequest_of_Mrs._Cora_Timken_Burnett
Bodhisattva_Votive_Stele,作者,Gift_of_Mrs._Martha_Wake_Bishop
"Bomb_Pin_and_Tag,_China",作者,MoPA_-_Bequest_of_the_Lou_Stoumen_Estate
"Bomber,_U.S._B-24_comes_in_for_landing,Kunming,_China",作者,MoPA_-_Bequest_of_the_Lou_Stoumen_Estate
Bone_Dish,作者,Gift_of_Captain_and_Mrs._A._W._Borsum
Bone_Dish,作者,Gift_of_Captain_and_Mrs._A._W._Borsum
Boned_Peony_and_Bud,作者,Gift_of_Caroline_L._Self
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
"Book_(with_illustrations_of_butterflies,_birds_and_flowers)",作者,Gift_of_Mr._William_Ely
Bottle,作者,Bequest_of_Emile_Leonard_Schoppe
Bottle,作者,Bequest_of_Samuel_Hindel
Bottle,作者,Bequest_of_Samuel_Hindel
Bottle,作者,Bequest_of_Samuel_Hindel
Bottle_(with_crab_design_and_cap),作者,Gift_of_Michael_Seuss_in_honor_of_Donally_Sholin
Bottle_(with_crab_design_and_cap),作者,Gift_of_Michael_Seuss_in_honor_of_Donally_Sholin
Bottle_(with_floral_design),作者,Bequest_of_Samuel_Hindel
Bottle_(with_floral_design),作者,Bequest_of_Samuel_Hindel
Bottle_(with_floral_design),作者,Bequest_of_Samuel_Hindel
Bottle_(with_taoist_symbols),作者,"Bequest_of_Joseph_E._Jessop,_Jr."
"Bottler,_Beer_Factory,_Tsingtao",作者,Victor_Diaz_Color_Photography_Collection
Bowl,作者,Gift_of_Mrs._George_D._Pratt
Bowl,作者,Gift_of_Alice_Klauber
Bowl,作者,Bequest_of_Emile_Leonard_Schoppe
Bowl,作者,Bequest_of_Emile_Leonard_Schoppe
Bowl,作者,Bequest_of_Emile_Leonard_Schoppe
Bowl,作者,Gift_of_Mrs._John_Sheafe_Douglas
Bowl,作者,Gift_of_Mrs._John_Sheafe_Douglas
Bowl,作者,Bequest_of_Mrs._E._Clarence_Moore
Bowl,作者,Gift_of_Dr._and_Mrs._William_Lacey
Bowl,作者,Gift_of_Helen_May_Johnson
Bowl,作者,Gift_of_Edker_and_Blanche_Pope
Bowl,作者,Gift_of_Mrs._Carlos_Jos茅_Tavares
Bowl,作者,Gift_of_Mrs._Carlos_Jos茅_Tavares
Bowl,作者,Gift_of_Dr._and_Mrs._Charles_A._Breitenbach
Bowl,作者,Gift_of_Alice_Klauber
Bowl,作者,Gift_of_Mrs._John_P._Beach
Bowl,作者,Gift_of_Dr._Paul_S._Anderson
Bowl,作者,Gift_of_Mrs._John_P._Beach
Bowl,作者,Bequest_of_Mrs._Cora_Timken_Burnett
Bowl,作者,Gift_of_Helen_E._Smith
Bowl,作者,Gift_of_Mrs._John_Sheafe_Douglas
Bowl,作者,Gift_of_Mrs._John_Sheafe_Douglas
Bowl,作者,Gift_of_Mrs._Carlos_Jos茅_Tavares
Bowl,作者,Gift_of_Dr._Horace_N._Allen
Bowl,作者,Gift_of_Mrs._John_Sheafe_Douglas
Bowl,作者,Bequest_of_Eunice_S._Carter
Bowl,作者,Gift_of_Alice_Klauber
Bowl,作者,Bequest_of_Emile_Leonard_Schoppe
Bowl,作者,Bequest_of_Emile_Leonard_Schoppe
Bowl,作者,Bequest_of_Emile_Leonard_Schoppe
Bowl,作者,Gift_of_Mrs._John_P._Beach
Bowl,作者,Gift_of_Mrs._John_P._Beach
Bowl,作者,Bequest_of_Emile_Leonard_Schoppe
Bowl,作者,Gift_of_Charlotte_Mabury
Bowl,作者,Gift_of_Charlotte_Mabury
Bowl,作者,Gift_of_Mrs._Margaret_Keough
Bowl,作者,Bequest_of_Elsie_S._Kimberly
Bowl,作者,Gift_of_Dr._Paul_S._Anderson
Bowl,作者,Bequest_of_Mrs._E._Clarence_Moore
Bowl,作者,Bequest_of_Samuel_Hindel
Bowl,作者,Bequest_of_Samuel_Hindel
Bowl,作者,Gift_of_Dr._and_Mrs._Charles_A._Breitenbach
Bowl,作者,Bequest_of_Emile_Leonard_Schoppe
Bowl,作者,Gift_of_Charlotte_Mabury
Bowl,作者,Bequest_of_Elsie_S._Kimberly
Bowl_(Celadon_Basin),作者,Bequest_of_Mrs._Cora_Timken_Burnett
Bowl_(cherry_blossom_design),作者,Gift_of_Mrs._John_Sheafe_Douglas
Bowl_(footed),作者,Gift_of_Mrs._John_Sheafe_Douglas
Bowl_(with_aquatic_design_and_metal_rim),作者,Gift_of_Dr._and_Mrs._Charles_A._Breitenbach
Bowl_(with_cover),作者,Gift_of_Mrs._John_Sheafe_Douglas
Bowl_(with_cover),作者,Gift_of_Mrs._George_D._Pratt
Bowl_(with_cover),作者,Gift_of_Mrs._George_D._Pratt
Bowl_(with_decorative_motif),作者,Gift_of_Dr._and_Mrs._Raymond_M._Mason
Bowl_(with_figures),作者,Gift_of_Isamu_Kawaguchi
Bowl_(with_fish_and_flower_design),作者,Gift_of_Mrs._Irving_T._Snyder
Bowl_(with_floral_design),作者,Bequest_of_Emile_Leonard_Schoppe
Bowl_(with_floral_design),作者,Gift_of_Dr._and_Mrs._Charles_A._Breitenbach
Bowl_(with_floral_design),作者,Gift_of_Dr._and_Mrs._Charles_A._Breitenbach
Bowl_(with_foot_and_insect_design),作者,Gift_of_Mrs._Julius_Wagenheim
Bowl_(with_garnets),作者,Gift_of_Mrs._George_D._Pratt
Bowl_(with_impressed_floral_design),作者,Gift_of_Dr._and_Mrs._Charles_A._Breitenbach
Bowl_(with_impressed_floral_design),作者,Gift_of_Mrs._Carlos_Jos茅_Tavares
Bowl_(with_incised_floral_design),作者,Gift_of_Mr._and_Mrs._Aleck_Brownstein
Bowl_(with_leaf_design),作者,Bequest_of_Elsie_S._Kimberly
Bowl_(with_lotus_design),作者,Gift_of_Dr._Horace_N._Allen
Bowl_(with_ribbed_design),作者,Gift_of_Dr._and_Mrs._Charles_A._Breitenbach
Bowl_(with_river_scene),作者,Gift_of_Alma_Baumgarten
Bowl_(with_river_scene),作者,Gift_of_Alma_Baumgarten
Bowl_(with_scalloped_rim),作者,Gift_of_Mrs._John_Sheafe_Douglas
Bowl_(with_two_handles_and_lotus_design),作者,Gift_of_the_Harold_B._Canavan_Family
"Bowl_(with_wind,_flower,_snow,_and_moon_characters)",作者,Bequest_of_Samuel_Hindel
Box,作者,Bequest_of_Elsie_S._Kimberly
"Box_(in_five_sections,_ornamented_with_jades)",作者,Bequest_of_Elsie_S._Kimberly
"Box_(in_form_of_goose,_with_wood_stand)",作者,"Gift_of_C.T._Loo,_Inc."
Box_(in_shape_of_melon_with_lid),作者,Gift_of_Isamu_Kawaguchi
Box_(with_cover),作者,Gift_of_Mrs._John_Sheafe_Douglas
Box_(with_cover),作者,Bequest_of_Emile_Leonard_Schoppe
Box_(with_cover),作者,Gift_of_Mrs._John_Sheafe_Douglas
Box_(with_cover),作者,"Gift_of_Mrs._Dorothea_W._Allen_in_memory_of_her_parents,_Mr._and_Mrs._Ernest_E._White_and_among_the_original_members_of_""Friends_of_Art""."
Box_(with_cover),作者,Bequest_of_Elsie_S._Kimberly
Box_(with_cover),作者,Gift_of_Isamu_Kawaguchi
Box_(with_floral_design_and_cover),作者,Bequest_of_Emile_Leonard_Schoppe
Box_(with_floral_design_and_hinged_lid),作者,Gift_of_Isamu_Kawaguchi
Box_(with_geometric_design_and_cover),作者,Gift_of_Isamu_Kawaguchi
"Box_(with_lid,_in_the_form_of_a_recumbent_bull)",作者,Anonymous_gift_in_loving_memory_of_Evelyn_H._Ornstein
Box_(with_lid),作者,Gift_of_Mrs._J._A._Neville
Box_(with_lid),作者,Bequest_of_Samuel_Hindel
Box_(with_lid),作者,Gift_of_Isamu_Kawaguchi
Box_(with_melon_design_and_lid),作者,Gift_of_Isamu_Kawaguchi
Box_(with_melon_design_and_lid),作者,Gift_of_Isamu_Kawaguchi
Box_(with_model_of_a_flower_boat),作者,Anonymous_gift_in_loving_memory_of_Evelyn_H._Ornstein
"Boy_Soldier_and_Grandfather,_Chengtu,_China",作者,MoPA_-_Bequest_of_the_Lou_Stoumen_Estate
Boy_washing_an_Elephant,作者,Gift_of_Harold_B._and_Margaret_E._Canavan
"Boy_with_chicken,_Huhnjao,_China",作者,MoPA_-_Gift_of_Edward_Etess
"Boy's_Boots_(with_floral_design,_a_pair)",作者,Gift_of_Alice_W._Peelle
Boy's_Hat_(with_floral_design),作者,"Gift_of_Mrs._Blair_Haskett,_Jr."
Bracelet,作者,Gift_of_Mrs._John_Sheafe_Douglas
Bracelet,作者,Gift_of_Mrs._John_Sheafe_Douglas
Branch_of_the_Old_Pine,作者,Gift_of_Ambassador_and_Mrs._Everett_F._Drumright
Bringing_Food_to_Soldiers,作者,Gift_of_Mrs._T._L._Sears
Brush_holder,作者,Bequest_of_Emile_Leonard_Schoppe
Brush_Holder_(in_shape_of_vase),作者,Bequest_of_Mrs._Cora_Timken_Burnett
Brush_Rest_(in_the_form_of_a_coiled_dragon),作者,Gift_of_Isamu_Kawaguchi
Brush_Washer,作者,Bequest_of_Emile_Leonard_Schoppe
Brush_Washer,作者,Gift_of_Mrs._John_Sheafe_Douglas
Brush_Washer,作者,Gift_of_Carl_Skinner
Brush_Washer,作者,Gift_of_Dr._Paul_S._Anderson
Brush_Washer,作者,Gift_of_Dr._Paul_S._Anderson
Brush_Washer,作者,Bequest_of_Mrs._Cora_Timken_Burnett
Brush_Washer,作者,Anonymous_gift_in_loving_memory_of_Evelyn_H._Ornstein
Brush_Washer_(with_catfish_motif),作者,Gift_of_Mr._and_Mrs._Arthur_S._Johnson
Brush_Washer_(with_Mandarin_scenes_on_openwork_stand),作者,Anonymous_gift_in_loving_memory_of_Evelyn_H._Ornstein
Brush_Washer_(with_relief_of_pilgrim_and_vision_of_enlightenment),作者,Anonymous_gift_in_loving_memory_of_Evelyn_H._Ornstein
Bucket_Vase,作者,Bequest_of_Emile_Leonard_Schoppe
Buddha,作者,"Museum_purchase_with_funds_provided_by_the_Asian_Arts_Council,_1949"
Buddha's_Hand_(with_stand),作者,Gift_of_Ambassador_and_Mrs._Everett_F._Drumright
Buddhist_Figure,作者,Bequest_of_Emile_Leonard_Schoppe
"Buddhist_Monks_Studying_Sutras,_Cold_Mountain_Monastery,_Soochow",作者,Victor_Diaz_Color_Photography_Collection
"Burial_of_famine_victim,_Hengyang,_China",作者,MoPA_-_Gift_of_Edward_Etess
Butterfly_and_Flowers,作者,Gift_of_Mary_Alice_Metzger
Cabinet,作者,Gift_of_Frank_L._and_Mabel_B._Johnston
Cabinet,作者,Gift_of_Eugene_and_Marian_Gabrych
Cabinet,作者,Gift_of_Eugene_and_Marian_Gabrych
Calligrapher's_Case_(with_floral_design_and_interior_compartment),作者,Gift_of_Mrs._Myrtle_Shepherd_Francis
Calligraphic_Critique,作者,Gift_of_Frederick_A._Schafer
Calligraphy_Birthday_Scroll,作者,Gift_of_Ambassador_and_Mrs._Everett_F._Drumright
Calligraphy_Birthday_Scroll,作者,Gift_of_Ambassador_and_Mrs._Everett_F._Drumright
Camel,作者,Museum_purchase_with_funds_provided_by_the_Helen_M._Towle_Bequest
Camel,作者,Museum_purchase_with_funds_provided_by_the_Helen_M._Towle_Bequest
Canna_Blossom,作者,Gift_of_Ambassador_and_Mrs._Everett_F._Drumright
Card_Box_(with_floral_design_and_cord),作者,Gift_of_Mrs._Myrtle_Shepherd_Francis
Card_Case,作者,Gift_of_Mrs._Myrtle_Shepherd_Francis
Card_Case,作者,Gift_of_Captain_and_Mrs._Henry_Throckmorton
Card_Case_(with_floral_design_and_hanging_cord),作者,Gift_of_Mrs._Myrtle_Shepherd_Francis
Card_Case_(with_game_piece_design),作者,Gift_of_Mrs._Myrtle_Shepherd_Francis
Card_Case_(with_hanging_cord_and_tassels),作者,Gift_of_Mrs._Myrtle_Shepherd_Francis
"Case_(with_lotus,_clouds_and_rat_design)",作者,Gift_of_Mrs._Myrtle_Shepherd_Francis
Cat,作者,Gift_of_Ambassador_and_Mrs._Everett_F._Drumright
Censer,作者,Bequest_of_Emile_Leonard_Schoppe
Censer,作者,Gift_of_Mr._and_Mrs._Detmar_Walter
Censer,作者,From_the_Collection_of_Richard_A._Lauderbaugh._Donated_in_His_memory_by_Paula_L._and_William_C._Bradley
Censer_(with_base),作者,Gift_of_Helen-May_Johnson
Censer_(with_cover),作者,Gift_of_Mrs._John_Sheafe_Douglas
Censer_(with_cover),作者,Bequest_of_Mrs._E._Clarence_Moore
Censer_(with_cover),作者,Gift_of_Ambassador_and_Mrs._Everett_F._Drumright
Censer_(with_handles_in_the_form_of_coiling_dragons),作者,Gift_of_Mrs._Carlos_Jos茅_Tavares
Censer_(with_horizontal_fluted_design),作者,Gift_of_Dr._and_Mrs._Charles_A._Breitenbach
Censer_(with_incised_cloud-grid_pattern),作者,Bequest_of_Mrs._Cora_Timken_Burnett
Censer_(with_raised_floral_design_and_tripod_legs),作者,Gift_of_Mr._and_Mrs._Aleck_Brownstein
Censer_(with_stylized_fish_handles),作者,Gift_of_Dr._and_Mrs._Charles_A._Breitenbach
Censer_(with_three_legs),作者,Bequest_of_Mrs._Cora_Timken_Burnett
Ceremonial_Animal,作者,Gift_of_Mr._Philip_Pinsof
Ceremonial_Ax_Blade,作者,Gift_of_Mr._Franklin_L._Miller
Ceremonial_Axe,作者,Gift_of_Mrs._Irving_T._Snyder
Ceremonial_Hatchet,作者,Museum_purchase_with_funds_provided_by_Anne_R._and_Amy_Putnam
Ceremonial_Knife_(with_imbedded_design_and_silver_hlit_and_dragon),作者,Gift_of_Earle_W._Grant
Ceremonial_Ring,作者,Gift_of_Mrs._John_Sheafe_Douglas
Chair,作者,Gift_of_Eugene_and_Marian_Gabrych
Chair,作者,Gift_of_Eugene_and_Marian_Gabrych
Chair,作者,Gift_of_Eugene_and_Marian_Gabrych
Chair,作者,Gift_of_Eugene_and_Marian_Gabrych
Chair_(folding),作者,Gift_of_Eugene_and_Marian_Gabrych
Chair_Cover,作者,Bequest_of_Elsie_S._Kimberly
Chair_Cover_(with_floral_design),作者,Gift_of_Mrs._John_C._Bentz
Chair_Cover_(with_floral_design),作者,Gift_of_Mrs._Helen_B._Jeffers
Chair_Panel,作者,Bequest_of_Elsie_S._Kimberly
Chang_Kuo-lao_(with_musical_instrument),作者,Gift_of_the_James_P._Witherow_Family
